No,Time (min.),Disp (mm.),Load (N.),Stress (N./sq.mm.),Strain,Temp Top Control (°C),Temp Middle Control (°C),Temp Bottom Control (°C),Temp Top (°C),Temp Middle (°C),Temp Bottom (°C)
1,0.0000,0.0000,4.1,0.02,0.0000000,32,31.8,32.4,31,32,31
2,0.0167,0.0250,9.3,0.05,0.0010000,32,31.8,32.4,31,32,31
3,0.0333,0.0490,14.1,0.08,0.0019600,32,31.8,32.4,31,32,31
4,0.0500,0.0740,18.1,0.10,0.0029600,32,31.8,32.4,31,32,31
5,0.0667,0.0990,21.8,0.12,0.0039600,32,31.8,32.4,31,32,31
6,0.0858,0.1280,24.5,0.14,0.0051200,32,31.8,32.4,31,32,31
7,0.1025,0.1530,26.8,0.15,0.0061200,32,31.8,32.4,31,32,31
8,0.1191,0.1780,29.9,0.17,0.0071200,32,31.8,32.4,31,32,31
9,0.1358,0.2030,30.2,0.17,0.0081200,32,31.8,32.4,31,32,31
10,0.1525,0.2280,33.3,0.19,0.0091200,32,31.8,32.4,31,32,31
11,0.1691,0.2530,40.3,0.23,0.0101200,32,31.8,32.4,31,32,31
12,0.1858,0.2780,48.8,0.28,0.0111200,32,31.8,32.4,31,32,31
13,0.2025,0.3030,60.5,0.34,0.0121200,32,31.8,32.4,31,32,31
14,0.2191,0.3280,77.4,0.44,0.0131200,32,31.8,32.4,31,32,31
15,0.2358,0.3530,96.1,0.54,0.0141200,32,31.8,32.4,31,32,31
16,0.2525,0.3780,126.6,0.72,0.0151200,32,31.8,32.4,31,32,31
17,0.2691,0.4030,169.6,0.96,0.0161200,32,31.8,32.4,31,32,31
18,0.2858,0.4280,224.7,1.27,0.0171200,32,31.8,32.4,31,32,31
19,0.3025,0.4530,298.8,1.69,0.0181200,32,31.8,32.4,31,32,31
20,0.3191,0.4780,408.2,2.31,0.0191200,32,31.8,32.5,31,32,31
21,0.3358,0.5030,542.3,3.07,0.0201200,32,31.8,32.5,31,32,31
22,0.3525,0.5280,707.2,4.00,0.0211200,32,31.8,32.5,31,32,31
23,0.3691,0.5530,893.3,5.06,0.0221200,32.1,31.8,32.5,31,32,31
24,0.3858,0.5780,1094.9,6.20,0.0231200,32.1,31.8,32.5,31,32,31
25,0.4025,0.6030,1301.6,7.37,0.0241200,32.1,31.8,32.5,31,32,31
26,0.4191,0.6280,1518.9,8.60,0.0251200,32.1,31.9,32.5,31,32,31
27,0.4358,0.6530,1743.6,9.87,0.0261200,32.1,31.9,32.5,31,32,31
28,0.4525,0.6780,1969.9,11.15,0.0271200,32.1,31.9,32.5,31,32,31
29,0.4691,0.7030,2197.7,12.44,0.0281200,32.1,31.9,32.5,31,32,31
30,0.4858,0.7280,2423.2,13.71,0.0291200,32.1,31.9,32.5,31,32,31
31,0.5025,0.7530,2655.9,15.03,0.0301200,32.1,31.9,32.5,31,32,31
32,0.5191,0.7780,2887.7,16.34,0.0311200,32.1,31.9,32.5,31,32,31
33,0.5358,0.8030,3120.7,17.66,0.0321200,32.1,31.9,32.5,31,32,31
34,0.5525,0.8280,3356.1,18.99,0.0331200,32.1,31.9,32.5,31,32,31
35,0.5691,0.8530,3591.4,20.32,0.0341200,32.1,31.9,32.5,31,32,31
36,0.5858,0.8780,3825.9,21.65,0.0351200,32.1,31.9,32.5,31,32,31
37,0.6025,0.9030,4058.1,22.96,0.0361200,32.1,31.9,32.5,31,32,31
38,0.6191,0.9280,4287.0,24.26,0.0371200,32.1,31.9,32.5,31,32,31
39,0.6358,0.9530,4516.1,25.56,0.0381200,32.1,31.9,32.5,31,32,31
40,0.6525,0.9780,4747.2,26.86,0.0391200,32.1,31.9,32.5,31,32,31
41,0.6691,1.0030,4971.4,28.13,0.0401200,32.1,31.9,32.5,31,32,31
42,0.6858,1.0280,5190.9,29.37,0.0411200,32.1,31.9,32.5,31,32,31
43,0.7025,1.0530,5409.8,30.61,0.0421200,32.1,31.9,32.5,31,32,31
44,0.7191,1.0780,5629.2,31.85,0.0431200,32.1,31.9,32.5,31,32,31
45,0.7358,1.1030,5842.2,33.06,0.0441200,32.1,31.9,32.5,31,32,31
46,0.7525,1.1280,6050.8,34.24,0.0451200,32.1,31.9,32.5,31,32,31
47,0.7691,1.1530,6257.5,35.41,0.0461200,32.1,31.9,32.5,31,32,31
48,0.7858,1.1780,6458.8,36.55,0.0471200,32.1,31.9,32.5,31,32,31
49,0.8025,1.2030,6655.6,37.66,0.0481200,32.1,31.9,32.5,31,32,31
50,0.8191,1.2280,6849.2,38.76,0.0491200,32.1,31.9,32.5,31,32,31
51,0.8358,1.2530,7031.6,39.79,0.0501200,32.1,31.9,32.5,31,32,31
52,0.8525,1.2780,7210.3,40.80,0.0511200,32.1,31.9,32.5,31,32,31
53,0.8691,1.3030,7383.0,41.78,0.0521200,32.1,31.9,32.5,31,32,31
54,0.8858,1.3280,7546.6,42.71,0.0531200,32.1,31.9,32.5,31,32,31
55,0.9025,1.3530,7694.5,43.54,0.0541200,32.1,31.9,32.6,31,32,31
56,0.9191,1.3780,7840.9,44.37,0.0551200,32.1,31.9,32.6,31,32,31
57,0.9358,1.4030,7975.0,45.13,0.0561200,32.1,31.9,32.6,31,32,31
58,0.9525,1.4280,8099.1,45.83,0.0571200,32.1,31.9,32.5,31,32,31
59,0.9691,1.4530,8209.4,46.46,0.0581200,32.1,31.9,32.6,31,32,31
60,0.9858,1.4770,8308.5,47.02,0.0590800,32.1,31.9,32.6,31,32,31
61,1.0025,1.5030,8394.7,47.50,0.0601200,32.1,31.9,32.6,31,32,31
62,1.0191,1.5280,8467.0,47.91,0.0611200,32.1,31.9,32.6,31,32,31
63,1.0358,1.5530,8528.6,48.26,0.0621200,32.1,31.9,32.6,31,32,31
64,1.0525,1.5780,8575.5,48.53,0.0631200,32.1,31.9,32.6,31,32,31
65,1.0691,1.6030,8614.2,48.75,0.0641200,32.1,32,32.6,31,32,31
66,1.0858,1.6280,8641.3,48.90,0.0651200,32.1,32,32.6,31,32,31
67,1.1025,1.6530,8662.2,49.02,0.0661200,32.1,32,32.6,31,32,31
68,1.1191,1.6780,8673.6,49.08,0.0671200,32.2,32,32.6,31,32,31
69,1.1358,1.7030,8678.9,49.11,0.0681200,32.2,32,32.6,31,32,31
70,1.1525,1.7280,8678.9,49.11,0.0691200,32.2,32,32.6,31,32,31
71,1.1691,1.7530,8674.6,49.09,0.0701200,32.2,32,32.6,31,32,31
72,1.1858,1.7780,8668.6,49.05,0.0711200,32.2,32,32.6,31,32,31
73,1.2025,1.8030,8658.8,49.00,0.0721200,32.2,32,32.6,31,32,31
74,1.2191,1.8280,8648.3,48.94,0.0731200,32.2,32,32.6,31,32,31
75,1.2358,1.8530,8633.2,48.85,0.0741200,32.2,32,32.6,31,32,31
76,1.2525,1.8780,8620.1,48.78,0.0751200,32.2,32,32.6,31,32,31
77,1.2691,1.9030,8604.0,48.69,0.0761200,32.2,32,32.6,31,32,31
78,1.2858,1.9280,8585.3,48.58,0.0771200,32.2,32,32.6,31,32,31
79,1.3025,1.9530,8568.2,48.49,0.0781200,32.2,32,32.6,31,32,31
80,1.3191,1.9780,8551.2,48.39,0.0791200,32.2,32,32.6,31,32,31
81,1.3358,2.0030,8531.3,48.28,0.0801200,32.2,32,32.6,31,32,31
82,1.3525,2.0280,8509.2,48.15,0.0811200,32.2,32,32.6,31,32,31
83,1.3691,2.0530,8487.6,48.03,0.0821200,32.2,32,32.6,31,32,31
84,1.3858,2.0780,8464.8,47.90,0.0831200,32.2,32,32.6,31,32,31
85,1.4025,2.1030,8442.5,47.78,0.0841200,32.2,32,32.6,31,32,31
86,1.4191,2.1270,8418.4,47.64,0.0850800,32.2,32,32.6,31,32,31
87,1.4358,2.1520,8394.7,47.50,0.0860800,32.2,32,32.6,31,32,31
88,1.4525,2.1780,8373.2,47.38,0.0871200,32.2,32,32.6,31,32,31
89,1.4691,2.2030,8345.9,47.23,0.0881200,32.2,32,32.6,31,32,31
90,1.4858,2.2280,8323.9,47.10,0.0891200,32.2,32,32.6,31,32,31
91,1.5025,2.2530,8298.4,46.96,0.0901200,32.2,32,32.6,31,32,31
92,1.5191,2.2780,8273.9,46.82,0.0911200,32.2,32,32.6,31,32,31
93,1.5358,2.3030,8250.8,46.69,0.0921200,32.2,32,32.6,31,32,31
94,1.5525,2.3280,8226.3,46.55,0.0931200,32.2,32,32.6,31,32,31
95,1.5691,2.3530,8203.8,46.42,0.0941200,32.2,32,32.7,31,32,31
96,1.5858,2.3780,8181.5,46.30,0.0951200,32.2,32,32.6,31,32,31
97,1.6025,2.4030,8161.6,46.18,0.0961200,32.2,32,32.6,31,32,31
98,1.6191,2.4280,8139.6,46.06,0.0971200,32.2,32,32.6,31,32,31
99,1.6358,2.4520,8118.5,45.94,0.0980800,32.2,32,32.6,31,32,31
100,1.6525,2.4780,8097.1,45.82,0.0991200,32.2,32,32.6,31,32,31
101,1.6691,2.5030,8077.2,45.71,0.1001200,32.2,32,32.6,31,32,31
102,1.6858,2.5280,8057.0,45.59,0.1011200,32.2,32,32.6,31,32,31
103,1.7025,2.5530,8037.6,45.48,0.1021200,32.2,32,32.6,31,32,31
104,1.7191,2.5780,8015.9,45.36,0.1031200,32.2,32,32.6,31,32,31
105,1.7358,2.6030,7993.3,45.23,0.1041200,32.2,32,32.6,31,32,31
106,1.7525,2.6280,7976.2,45.14,0.1051200,32.2,32,32.6,31,32,31
107,1.7691,2.6530,7959.4,45.04,0.1061200,32.2,32,32.6,31,32,31
108,1.7858,2.6780,7939.2,44.93,0.1071200,32.3,32,32.6,31,32,31
109,1.8025,2.7030,7920.4,44.82,0.1081200,32.3,32,32.6,31,32,31
110,1.8191,2.7280,7902.2,44.72,0.1091200,32.3,32,32.6,31,32,31
111,1.8358,2.7530,7884.1,44.61,0.1101200,32.3,32,32.6,31,32,31
112,1.8525,2.7780,7864.1,44.50,0.1111200,32.3,32,32.6,31,32,31
113,1.8691,2.8030,7845.2,44.39,0.1121200,32.3,32,32.6,31,32,31
114,1.8858,2.8270,7826.5,44.29,0.1130800,32.3,32,32.7,31,32,31
115,1.9025,2.8530,7811.2,44.20,0.1141200,32.3,32.1,32.6,31,32,31
116,1.9191,2.8780,7795.0,44.11,0.1151200,32.3,32.1,32.6,31,32,31
117,1.9358,2.9030,7777.3,44.01,0.1161200,32.3,32.1,32.7,31,32,31
118,1.9525,2.9280,7760.1,43.91,0.1171200,32.3,32.1,32.7,31,32,31
119,1.9691,2.9530,7741.8,43.81,0.1181200,32.3,32.1,32.6,31,32,31
120,1.9858,2.9780,7728.1,43.73,0.1191200,32.3,32.1,32.6,31,32,31
121,2.0025,3.0030,7710.4,43.63,0.1201200,32.3,32.1,32.6,31,32,31
122,2.0191,3.0280,7692.5,43.53,0.1211200,32.3,32.1,32.7,31,32,31
123,2.0358,3.0530,7676.7,43.44,0.1221200,32.3,32.1,32.7,31,32,31
