No,Time (min.),Disp (mm.),Load (N.),Stress (N./sq.mm.),Strain,Temp Top Control (°C),Temp Middle Control (°C),Temp Bottom Control (°C),Temp Top (°C),Temp Middle (°C),Temp Bottom (°C)
1,0.0000,0.0000,0.0,0.00,0.0000000,32.8,32.5,33.1,31,32,31
2,0.0167,0.0250,-0.5,0.00,0.0010000,32.8,32.5,33.1,31,32,31
3,0.0333,0.0490,-0.5,0.00,0.0019600,32.8,32.5,33.1,31,32,31
4,0.0500,0.0740,2.3,0.01,0.0029600,32.9,32.5,33.1,31,32,31
5,0.0667,0.0990,26.8,0.15,0.0039600,32.9,32.5,33.1,31,32,31
6,0.0833,0.1240,79.4,0.45,0.0049600,32.9,32.5,33.1,31,32,31
7,0.1000,0.1490,161.5,0.91,0.0059600,32.9,32.5,33.1,31,32,31
8,0.1167,0.1740,271.2,1.53,0.0069600,32.9,32.5,33.1,31,32,31
9,0.1333,0.1990,421.2,2.38,0.0079600,32.9,32.5,33.1,31,32,31
10,0.1500,0.2240,607.1,3.44,0.0089600,32.9,32.5,33.1,31,32,31
11,0.1667,0.2490,819.2,4.64,0.0099600,32.9,32.5,33.1,31,32,31
12,0.1833,0.2740,1050.5,5.94,0.0109600,32.9,32.5,33.1,31,32,31
13,0.2000,0.2990,1288.7,7.29,0.0119600,32.9,32.5,33.1,31,32,31
14,0.2167,0.3240,1533.1,8.68,0.0129600,32.9,32.5,33.1,31,32,31
15,0.2333,0.3490,1780.9,10.08,0.0139600,32.9,32.5,33.1,31,32,31
16,0.2500,0.3740,2035.5,11.52,0.0149600,32.9,32.5,33.1,31,32,31
17,0.2667,0.3990,2295.6,12.99,0.0159600,32.9,32.5,33.1,31,32,31
18,0.2833,0.4240,2546.1,14.41,0.0169600,32.9,32.5,33.1,31,32,31
19,0.3000,0.4490,2809.3,15.90,0.0179600,32.9,32.5,33.1,31,32,31
20,0.3167,0.4740,3071.2,17.38,0.0189600,32.9,32.5,33.1,31,32,31
21,0.3333,0.4990,3336.1,18.88,0.0199600,32.9,32.5,33.1,31,32,31
22,0.3500,0.5240,3599.7,20.37,0.0209600,32.9,32.5,33.1,31,32,31
23,0.3667,0.5490,3865.4,21.87,0.0219600,32.9,32.5,33.1,31,32,31
24,0.3833,0.5740,4128.7,23.36,0.0229600,32.9,32.5,33.1,31,32,31
25,0.4000,0.5990,4393.2,24.86,0.0239600,32.9,32.5,33.1,31,32,31
26,0.4167,0.6240,4657.8,26.36,0.0249600,32.9,32.5,33.1,31,32,31
27,0.4333,0.6490,4920.1,27.84,0.0259600,32.9,32.5,33.1,31,32,31
28,0.4500,0.6740,5177.7,29.30,0.0269600,32.9,32.5,33.1,31,32,31
29,0.4667,0.6990,5441.4,30.79,0.0279600,32.9,32.5,33.1,31,32,31
30,0.4833,0.7240,5702.6,32.27,0.0289600,32.9,32.5,33.1,31,32,31
31,0.5000,0.7490,5962.8,33.74,0.0299600,32.9,32.5,33.1,31,32,31
32,0.5167,0.7740,6221.1,35.20,0.0309600,32.9,32.5,33.1,31,32,31
33,0.5333,0.7990,6479.9,36.67,0.0319600,32.9,32.5,33.1,31,32,32
34,0.5500,0.8240,6737.3,38.13,0.0329600,32.9,32.5,33.1,31,32,32
35,0.5667,0.8490,6988.9,39.55,0.0339600,32.9,32.5,33.1,31,32,32
36,0.5833,0.8740,7243.6,40.99,0.0349600,32.9,32.5,33.1,31,32,32
37,0.6000,0.8990,7493.8,42.41,0.0359600,32.9,32.5,33.1,31,32,32
38,0.6167,0.9240,7736.6,43.78,0.0369600,32.9,32.5,33.1,31,32,32
39,0.6333,0.9490,7979.5,45.15,0.0379600,32.9,32.5,33.1,31,32,32
40,0.6500,0.9740,8217.3,46.50,0.0389600,32.9,32.5,33.1,31,32,32
41,0.6667,0.9990,8448.6,47.81,0.0399600,32.9,32.5,33.1,31,32,32
42,0.6833,1.0240,8676.4,49.10,0.0409600,32.9,32.5,33.1,31,32,32
43,0.7000,1.0490,8896.6,50.34,0.0419600,32.9,32.5,33.1,31,32,32
44,0.7167,1.0740,9108.6,51.54,0.0429600,32.9,32.5,33.1,31,32,32
45,0.7333,1.0990,9308.1,52.67,0.0439600,32.9,32.5,33.1,31,32,32
