No,Time (min.),Disp (mm.),Load (N.),Stress (N./sq.mm.),Strain,Temp Top Control (°C),Temp Middle Control (°C),Temp Bottom Control (°C),Temp Top (°C),Temp Middle (°C),Temp Bottom (°C)
1,0.0000,0.0000,0.1,0.00,0.0000000,31.1,30.8,31.5,31,31,31
2,412.4201,0.0000,-0.1,0.00,0.0000000,31.1,30.8,31.5,31,31,31
3,412.4368,0.0260,41.0,0.23,0.0010400,31.1,30.8,31.5,31,31,31
4,412.4535,0.0520,93.7,0.53,0.0020800,31.1,30.8,31.5,31,31,31
5,412.4701,0.0760,143.4,0.81,0.0030400,31.1,30.8,31.5,31,31,31
6,412.4868,0.1010,213.5,1.21,0.0040400,31.1,30.8,31.5,31,31,31
7,412.5035,0.1250,297.7,1.68,0.0050000,31.1,30.8,31.5,31,31,31
8,412.5201,0.1500,394.8,2.23,0.0060000,31.1,30.8,31.5,31,31,31
9,412.5368,0.1750,515.3,2.92,0.0070000,31.1,30.8,31.5,31,31,31
10,412.5535,0.2000,666.1,3.77,0.0080000,31.1,30.8,31.5,31,31,31
11,412.5701,0.2250,833.1,4.71,0.0090000,31.1,30.8,31.5,31,31,31
12,412.5868,0.2500,1020.3,5.77,0.0100000,31.1,30.8,31.5,31,31,31
13,412.6035,0.2750,1216.4,6.88,0.0110000,31.1,30.8,31.5,31,31,31
14,412.6201,0.3000,1425.6,8.07,0.0120000,31.1,30.8,31.5,31,31,31
15,412.6368,0.3250,1640.6,9.28,0.0130000,31.1,30.8,31.5,31,31,31
16,412.6535,0.3500,1861.8,10.54,0.0140000,31.1,30.8,31.5,31,31,31
17,412.6701,0.3750,2086.6,11.81,0.0150000,31.1,30.8,31.5,31,31,31
18,412.6868,0.4000,2317.1,13.11,0.0160000,31.1,30.8,31.6,31,31,31
19,412.7035,0.4250,2538.8,14.37,0.0170000,31.1,30.8,31.5,31,31,31
20,412.7201,0.4500,2772.3,15.69,0.0180000,31.1,30.8,31.6,31,31,31
21,412.7368,0.4750,3005.6,17.01,0.0190000,31.1,30.8,31.5,31,31,31
22,412.7535,0.5000,3238.7,18.33,0.0200000,31.1,30.8,31.5,31,31,31
23,412.7701,0.5250,3469.7,19.63,0.0210000,31.2,30.8,31.5,31,31,31
24,412.7868,0.5500,3699.9,20.94,0.0220000,31.2,30.8,31.5,31,31,31
25,412.8035,0.5750,3932.8,22.26,0.0230000,31.2,30.8,31.5,31,31,31
26,412.8201,0.6000,4164.5,23.57,0.0240000,31.2,30.8,31.6,31,31,31
27,412.8368,0.6250,4388.9,24.84,0.0250000,31.2,30.8,31.5,31,31,31
28,412.8535,0.6500,4614.7,26.11,0.0260000,31.2,30.9,31.5,31,31,31
29,412.8701,0.6750,4844.1,27.41,0.0270000,31.2,30.9,31.5,31,31,31
30,412.8868,0.7000,5064.0,28.66,0.0280000,31.2,30.9,31.5,31,31,31
31,412.9035,0.7250,5287.6,29.92,0.0290000,31.2,30.9,31.5,31,31,31
32,412.9201,0.7500,5505.0,31.15,0.0300000,31.2,30.9,31.6,31,31,31
33,412.9368,0.7750,5721.1,32.37,0.0310000,31.2,30.9,31.6,31,31,31
34,412.9535,0.8000,5935.6,33.59,0.0320000,31.2,30.9,31.6,31,31,31
35,412.9701,0.8250,6144.5,34.77,0.0330000,31.2,30.9,31.6,31,31,31
36,412.9868,0.8500,6345.4,35.91,0.0340000,31.2,30.9,31.6,31,31,31
37,413.0035,0.8750,6546.6,37.05,0.0350000,31.2,30.9,31.6,31,31,31
38,413.0201,0.9000,6742.9,38.16,0.0360000,31.2,30.8,31.6,31,31,31
39,413.0368,0.9250,6929.7,39.21,0.0370000,31.2,30.9,31.6,31,31,31
40,413.0535,0.9500,7108.7,40.23,0.0380000,31.2,30.9,31.6,31,31,31
41,413.0701,0.9750,7278.0,41.18,0.0390000,31.2,30.9,31.6,31,31,31
42,413.0868,1.0000,7441.0,42.11,0.0400000,31.2,30.9,31.6,31,31,31
43,413.1035,1.0250,7586.3,42.93,0.0410000,31.2,30.9,31.6,31,31,31
44,413.1201,1.0500,7726.4,43.72,0.0420000,31.2,30.9,31.6,31,31,31
